base,symbol,source
LRC,LRCUSDT,binance
LRCX,LRCXUSDT,binance
LSK,LSKUSDT,binance
LTC,LTCUSDT,binance
LUMIA,LUMIAUSDT,binance
LUNA,LUNAUSDT,binance
LUNA2,LUNA2USDT,binance
LYN,LYNUSDT,binance
M,MUSDT,binance
MAGIC,MAGICUSDT,binance
MAGMA,MAGMAUSDT,binance
MANA,MANAUSDT,binance
MANTA,MANTAUSDT,binance
MANTRA,MANTRAUSDT,binance
MASK,MASKUSDT,binance
MATIC,MATICUSDT,binance
MAV,MAVUSDT,binance
MAVIA,MAVIAUSDT,binance
MBL,MBLUSDT,binance
MBOX,MBOXUSDT,binance
MDT,MDTUSDT,binance
ME,MEUSDT,binance
MEGA,MEGAUSDT,binance
MELANIA,MELANIAUSDT,binance
MEME,MEMEUSDT,binance
MEMEFI,MEMEFIUSDT,binance
MERL,MERLUSDT,binance
MET,METUSDT,binance
META,METAUSDT,binance
METIS,METISUSDT,binance
MEW,MEWUSDT,binance
MILK,MILKUSDT,binance
MINA,MINAUSDT,binance
MINIMAX,MINIMAXUSDT,binance
MIRA,MIRAUSDT,binance
MITO,MITOUSDT,binance
MKR,MKRUSDT,binance
MLN,MLNUSDT,binance
MMT,MMTUSDT,binance
MOCA,MOCAUSDT,binance
MON,MONUSDT,binance
MOODENG,MOODENGUSDT,binance
MORPHO,MORPHOUSDT,binance
MOVE,MOVEUSDT,binance
MOVR,MOVRUSDT,binance
MRVL,MRVLUSDT,binance
MSFT,MSFTUSDT,binance
MSTR,MSTRUSDT,binance
MTL,MTLUSDT,binance
MU,MUUSDT,binance
MUBARAK,MUBARAKUSDT,binance
MUU,MUUUSDT,binance
MVLL,MVLLUSDT,binance
MYRO,MYROUSDT,binance
MYX,MYXUSDT,binance
NAORIS,NAORISUSDT,binance
NATGAS,NATGASUSDT,binance
NBIS,NBISUSDT,binance
NEAR,NEARUSDT,binance
NEIRO,NEIROUSDT,binance
NEIROETH,NEIROETHUSDT,binance
NEO,NEOUSDT,binance
NEWT,NEWTUSDT,binance
NFLX,NFLXUSDT,binance
NFP,NFPUSDT,binance
NIGHT,NIGHTUSDT,binance
NIL,NILUSDT,binance
NKN,NKNUSDT,binance
NMR,NMRUSDT,binance
NOK,NOKUSDT,binance
NOM,NOMUSDT,binance
NOT,NOTUSDT,binance
NOW,NOWUSDT,binance
NTRN,NTRNUSDT,binance
NU,NUUSDT,binance
NULS,NULSUSDT,binance
NVDA,NVDAUSDT,binance
NVO,NVOUSDT,binance
NXPC,NXPCUSDT,binance
O,OUSDT,binance
OBOL,OBOLUSDT,binance
OCEAN,OCEANUSDT,binance
OG,OGUSDT,binance
OGN,OGNUSDT,binance
OL,OLUSDT,binance
OM,OMUSDT,binance
OMG,OMGUSDT,binance
OMNI,OMNIUSDT,binance
ON,ONUSDT,binance
ONDO,ONDOUSDT,binance
ONDS,ONDSUSDT,binance
ONE,ONEUSDT,binance
ONG,ONGUSDT,binance
ONT,ONTUSDT,binance
OP,OPUSDT,binance
OPEN,OPENUSDT,binance
OPENAI,OPENAIUSDT,binance
OPG,OPGUSDT,binance
OPN,OPNUSDT,binance
