base,source,symbol,rows,first_utc,last_utc,days,delisted
BADGER,binance,BADGERUSDT,1439250,2023-11-09,2026-08-04,1000,0
BAKE,binance,BAKEUSDT,1889280,2023-01-01,2026-08-04,1313,0
BAL,binance,BALUSDT,1889280,2023-01-01,2026-08-04,1313,0
BAN,binance,BANUSDT,901029,2024-11-18,2026-08-06,627,0
BANANA,binance,BANANAUSDT,1038399,2024-08-15,2026-08-06,722,0
BANANAS31,binance,BANANAS31USDT,722604,2025-03-22,2026-08-06,503,0
BAND,binance,BANDUSDT,1890999,2023-01-01,2026-08-06,1314,0
BANK,binance,BANKUSDT,683169,2025-04-18,2026-08-06,475,0
BARD,binance,BARDUSDT,463299,2025-09-18,2026-08-06,323,0
BAS,binance,BASUSDT,496269,2025-08-26,2026-08-06,345,0
BASED,binance,BASEDUSDT,185439,2026-03-30,2026-08-06,130,0
BAT,binance,BATUSDT,1890999,2023-01-01,2026-08-06,1314,0
BB,binance,BBUSDT,1173129,2024-05-13,2026-08-06,815,0
BBX,binance,BBXUSDT,63103,2026-06-23,2026-08-06,45,0
BCH,binance,BCHUSDT,1890999,2023-01-01,2026-08-06,1314,0
BDXN,binance,BDXNUSDT,473130,2025-06-03,2026-04-27,330,0
BE,binance,BEUSDT,100554,2026-05-28,2026-08-06,71,0
BEAM,bybit,BEAMUSDT,1433845,2023-11-14,2026-08-06,997,0
BEAMX,binance,BEAMXUSDT,1429389,2023-11-17,2026-08-06,993,0
BEAT,binance,BEATUSDT,384024,2025-11-12,2026-08-06,267,0
BEL,binance,BELUSDT,1890999,2023-01-01,2026-08-06,1314,0
BENDOG,bybit_trades,BENDOGUSDT,341170,2024-06-03,2025-01-30,242,1
BERA,binance,BERAUSDT,785619,2025-02-06,2026-08-06,546,0
BICO,binance,BICOUSDT,1501449,2023-09-28,2026-08-06,1043,0
BID,binance,BIDUSDT,723750,2025-03-20,2026-08-04,504,0
BIGTIME,binance,BIGTIMEUSDT,1481169,2023-10-12,2026-08-06,1029,0
BILL,binance,BILLUSDT,130824,2026-05-07,2026-08-06,92,0
BILLY,bybit_trades,BILLYUSDT,98365,2024-11-27,2025-02-19,85,1
BIO,binance,BIOUSDT,834744,2025-01-03,2026-08-06,580,0
BIRB,binance,BIRBUSDT,272124,2026-01-29,2026-08-06,190,0
BIT,bybit_trades,BITUSD,175559,2023-01-01,2023-06-30,181,1
BITO,binance,BITOUSDT,14039,2026-07-27,2026-08-06,11,0
BLAST,bybit,BLASTUSDT,1108477,2024-06-27,2026-08-06,771,0
BLEND,bybit,BLENDUSDT,142236,2026-04-29,2026-08-06,100,0
BLESS,binance,BLESSUSDT,456189,2025-09-23,2026-08-06,318,0
BLUAI,binance,BLUAIUSDT,415749,2025-10-21,2026-08-06,290,0
BLUE,bybit_trades,BLUEUSDT,130424,2024-12-18,2025-04-07,111,1
BLUEBIRD,binance,BLUEBIRDUSDT,739146,2023-01-01,2024-05-28,514,0
BLUR,binance,BLURUSDT,1721799,2023-04-28,2026-08-06,1196,0
BLZ,binance,BLZUSDT,1889280,2023-01-01,2026-08-04,1313,0
BMNR,binance,BMNRUSDT,120714,2026-05-14,2026-08-06,85,0
BMT,binance,BMTUSDT,729549,2025-03-17,2026-08-06,507,0
BNB,binance,BNBUSDT,1890999,2023-01-01,2026-08-06,1314,0
BNC,binance,BNCUSDT,39734,2026-07-09,2026-08-06,28,0
BNT,binance,BNTUSDT,1572039,2023-08-10,2026-08-06,1092,0
BNX,binance,BNXUSDT,1858155,2023-01-01,2026-08-04,1292,0
BOB,binance,BOBUSDT,369435,2025-11-21,2026-08-04,258,0
BOBA,bybit,BOBAUSDT,1890999,2023-01-01,2026-08-06,1314,0
BOBBOB,bybit_trades,BOBBOBUSDT,253551,2025-11-24,2026-07-27,246,1
BOME,binance,BOMEUSDT,1256649,2024-03-16,2026-08-06,873,0
BOND,binance,BONDUSDT,1475130,2023-10-15,2026-08-04,1025,0
BOT,binance,BOTUSDT,51605,2026-07-01,2026-08-06,37,0
BP,bybit_trades,BPUSDT,69843,2026-03-16,2026-08-04,143,1
BR,binance,BRUSDT,723834,2025-03-21,2026-08-06,503,0
BRETT,binance,BRETTUSDT,1030684,2024-08-20,2026-08-06,717,0
BREV,binance,BREVUSDT,314994,2025-12-30,2026-08-06,220,0
BRKB,binance,BRKBUSDT,114649,2026-05-18,2026-08-06,80,0
BROCCOLI,bybit,BROCCOLIUSDT,774243,2025-02-14,2026-08-06,538,0
BROCCOLI714,binance,BROCCOLI714USDT,724059,2025-03-21,2026-08-06,504,0
BROCCOLIF3B,binance,BROCCOLIF3BUSDT,724044,2025-03-21,2026-08-06,504,0
BSB,binance,BSBUSDT,192534,2026-03-25,2026-08-06,135,0
BSP,binance,BSPUSDT,50089,2026-07-02,2026-08-06,36,0
BSU,bybit_trades,BSUUSDT,262534,2025-08-27,2026-04-30,247,1
BSV,binance,BSVUSDT,1469769,2023-10-20,2026-08-06,1021,0
BSW,binance,BSWUSDT,1006200,2024-09-05,2026-08-04,700,0
BTC,binance,BTCUSDT,1890999,2023-01-01,2026-08-06,1314,0
BTCDOM,binance,BTCDOMUSDT,1890999,2023-01-01,2026-08-06,1314,0
BTCST,binance,BTCSTUSDT,1880640,2023-01-01,2026-07-29,1307,0
BTR,binance,BTRUSDT,495009,2025-08-27,2026-08-06,345,0
BTS,binance,BTSUSDT,739150,2023-01-01,2024-05-28,514,0
BTW,binance,BTWUSDT,90144,2026-06-04,2026-08-06,63,0
BULLA,binance,BULLAUSDT,572859,2025-07-04,2026-08-06,399,0
BUSD,bybit_trades,BUSDUSDT,72348,2023-02-14,2023-12-08,298,1
BUZZ,bybit_trades,BUZZUSDT,123667,2025-01-22,2025-04-19,88,1
BX,binance,BXUSDT,84699,2026-06-08,2026-08-06,60,0
BZ,binance,BZUSDT,182609,2026-04-01,2026-08-06,128,0
C,binance,CUSDT,557019,2025-07-15,2026-08-06,388,0
C98,binance,C98USDT,1890999,2023-01-01,2026-08-06,1314,0
CAKE,binance,CAKEUSDT,1451034,2023-11-02,2026-08-06,1008,0
CAMP,bybit_trades,CAMPUSDT,268796,2025-08-28,2026-04-16,232,1
CANTO,bybit_trades,CANTOUSDT,72476,2024-05-23,2024-08-12,82,1
CAP,binance,CAPUSDT,57174,2026-06-27,2026-08-06,41,0
